# Rime user dictionary
#@/db_name	custom_dict
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	176129
#@/user_id	5c7bd513-b581-4b5c-b06b-c0a120567e25
a 	呵	c=1 d=1 t=83579
wo mei kai 	我沒開	c=1 d=1 t=100751
wo mei kan 	我沒看	c=1 d=1.26229e-05 t=176129
wo mei pan duan 	我沒判斷	c=1 d=1 t=68276
wo mei qi 	我沒起	c=1 d=1 t=162591
wo mei qu 	我沒去	c=1 d=7.60219e-11 t=176129
wo mei shen me 	我沒什麼	c=1 d=1 t=120113
wo mei shi er 	我沒事兒	c=3 d=1 t=137924
wo mei shuo 	我沒說	c=1 d=1 t=155620
wo mei tian 	我每天	c=1 d=1 t=8258
wo mei tuan 	我沒團	c=2 d=1 t=77593
wo mei tuan 	我美團	c=1 d=1 t=85841
wo mei tui 	我沒退	c=1 d=1 t=52953
wo mei you 	我沒有	c=16 d=3.87874e-06 t=176129
wo mei yu 	我沒與	c=1 d=1 t=58244
wo mei zai 	我沒在	c=2 d=1 t=142595
wo mei zhi xing 	我沒執行	c=1 d=1 t=134932
wo men 	我們	c=397 d=0.0345915 t=176129
wo men de 	我們的	c=9 d=0.000251014 t=176129
wo men na 	我們那	c=2 d=1 t=82437
wo men na bian 	我們那邊	c=1 d=1 t=149942
wo men na er 	我們哪兒	c=4 d=1.29923 t=128908
wo men zhe 	我們這	c=4 d=1 t=73125
wo men zhe bian 	我們這邊	c=1 d=1 t=168158
wo men zhe er 	我們這兒	c=10 d=1 t=175388
wo men zhe ge 	我們這個	c=1 d=1 t=102868
wo men zhou er 	我們週二	c=5 d=1 t=88428
wo mi hu 	我迷胡	c=1 d=1 t=101576
wo mian shi 	我面試	c=1 d=1 t=81600
wo ming tian 	我明天	c=10 d=1 t=154161
wo mo 	我摸	c=1 d=1 t=32450
wo mu qian 	我目前	c=1 d=1 t=158104
wo na 	我拿	c=3 d=1 t=169251
wo na 	我那	c=21 d=4.32078e-11 t=176129
wo na bian 	我那邊	c=1 d=1 t=149882
wo na er 	我哪兒	c=3 d=1 t=92797
wo na ge 	我那個	c=14 d=1 t=175238
wo na men 	我那門	c=1 d=1 t=77103
wo na shi 	我那是	c=6 d=1.00003 t=139936
wo na shi hou 	我那時候	c=2 d=1 t=135041
wo na tian 	我那天	c=3 d=1 t=50390
wo na tong shi 	我那同事	c=1 d=1 t=133237
wo na you 	我那有	c=1 d=1 t=40088
wo nan shou 	我難受	c=1 d=1 t=54379
wo nen die 	窩嫩爹	c=3 d=1 t=111159
wo neng 	我能	c=23 d=4.11767e-06 t=176129
wo neng bu neng 	我能不能	c=1 d=1 t=146993
wo neng zhao 	我能找	c=1 d=1 t=28445
wo ni ma 	我尼瑪	c=4 d=1 t=138887
wo nian di 	我年底	c=1 d=1 t=93595
wo ning yuan 	我寧願	c=1 d=1 t=109906
wo nong 	沃农	c=1 d=1 t=176102
wo nong hao 	我弄好	c=3 d=1 t=134722
wo nong wan 	我弄完	c=2 d=1 t=90338
wo nong xia 	我弄下	c=4 d=1 t=160839
wo nv peng you 	我女朋友	c=8 d=1.26908 t=122512
wo o du 	我哦堵	c=2 d=1 t=76461
wo ou er 	我偶爾	c=1 d=1 t=104454
wo pa 	我怕	c=19 d=0.1 t=174371
wo pa ni 	我怕你	c=2 d=1 t=32533
wo pa wo 	我怕我	c=1 d=1 t=174372
wo pai cha 	我排查	c=1 d=1 t=148289
wo pai zhao 	我拍照	c=1 d=1 t=172704
wo pang bian 	我旁邊	c=6 d=1 t=111810
wo pei ni 	我陪你	c=1 d=1 t=102375
wo pei zhi 	我配置	c=2 d=1 t=156423
wo peng you 	我朋友	c=4 d=1 t=131648
wo pi gu 	我屁股	c=1 d=1 t=7957
wo qi 	我騎	c=2 d=0.1 t=48323
wo qi che 	我騎車	c=1 d=1 t=48324
wo qi lai 	我起來	c=1 d=1 t=5246
wo qi ma 	我起碼	c=1 d=1 t=29502
wo qi ta 	我其它	c=1 d=1 t=66103
wo qian dao 	我簽到	c=1 d=1 t=95591
wo qiang piao 	我搶票	c=1 d=1 t=63517
wo qie 	我切	c=1 d=1 t=61522
wo qie huan 	我切換	c=2 d=1 t=50040
wo qing qiu 	我請求	c=1 d=1 t=12121
wo qu 	我去	c=75 d=0.393739 t=176129
wo qu 	我取	c=3 d=2.57732 t=107828
wo qu ge 	我去個	c=1 d=1 t=27001
wo qu na 	我去拿	c=1 d=0.00019647 t=176129
wo qu nian 	我去年	c=1 d=1 t=122374
wo qu zhao 	我去找	c=1 d=1 t=142227
wo quan bu 	我全部	c=1 d=1 t=71638
wo qun li 	我羣裏	c=1 d=1 t=62276
wo rang 	我讓	c=15 d=1 t=169743
wo rang ni 	我讓你	c=2 d=1 t=152587
wo rang ta 	我讓他	c=4 d=1 t=137022
wo re 	我熱	c=1 d=1 t=18388
wo ren 	我人	c=12 d=1 t=152719
wo ren dou 	我人都	c=2 d=1 t=148212
wo ren shi 	我認識	c=3 d=1 t=89393
wo ri 	我日	c=5 d=1 t=171168
wo sa huo er 	我撒活兒	c=1 d=1 t=69746
wo sa mei shuo 	我撒沒說	c=1 d=1.66212e-07 t=176129
wo sa zi 	我撒子	c=1 d=1 t=40086
wo san ge 	我三個	c=1 d=1 t=64495
wo sha 	我傻	c=4 d=1 t=168280
wo sha dou 	我啥都	c=1 d=1 t=36473
wo sha shi hou 	我啥時候	c=1 d=1 t=7812
wo shan chu 	我刪除	c=1 d=1 t=19301
wo shang ban 	我上班	c=2 d=1 t=13903
wo shang chuan 	我上傳	c=1 d=1 t=127493
wo shang ci 	我上次	c=16 d=7.44785e-05 t=176129
wo shang jia 	我上架	c=1 d=1 t=95942
wo shang lai 	我上來	c=2 d=1 t=37449
wo shang na er 	我上哪兒	c=1 d=1 t=109574
wo shang wu 	我上午	c=2 d=1 t=63914
wo shang zhou 	我上週	c=1 d=1 t=58149
wo shao 	我燒	c=1 d=1 t=127189
wo shao chi dian 	我少喫點	c=1 d=1 t=63539
wo shao ge 	我少個	c=1 d=1 t=84437
wo she zhi 	我設置	c=1 d=1 t=106780
wo shen pi 	我審批	c=1 d=1 t=55616
wo sheng cheng 	我生成	c=1 d=1 t=80632
wo shi 	我是	c=88 d=0.491807 t=176129
wo shi 	我試	c=0 d=0.1 t=46112
wo shi 	臥室	c=3 d=1 t=90038
wo shi bu shi 	我是不是	c=6 d=1 t=175941
wo shi bu zhi dao 	我是不知道	c=1 d=1 t=149211
wo shi gei 	我是給	c=1 d=1 t=81919
wo shi guo 	我試過	c=3 d=1 t=110911
wo shi kan 	我是看	c=1 d=1 t=14466
wo shi lai 	我是來	c=1 d=1 t=144216
wo shi le 	我試了	c=3 d=1 t=162095
wo shi mei 	我是沒	c=1 d=1 t=148542
wo shi ni die 	我是你爹	c=1 d=1 t=113221
wo shi shi 	我試試	c=19 d=0.00105417 t=176129
wo shi shuo 	我是說	c=10 d=1.81875 t=171262
wo shi xia 	我時下	c=1 d=2.46681e-05 t=176129
wo shi xia 	我試下	c=16 d=1.00007 t=160123
wo shi xin 	我是心	c=1 d=1 t=25568
wo shi yi 	我十一	c=2 d=4.14995e-07 t=176129
wo shi yi dian 	我是一點	c=1 d=1 t=163506
wo shi you 	我室友	c=16 d=1 t=172183
wo shi zhe yang 	我是這樣	c=1 d=1 t=162844
wo shou bu le 	我受不了	c=1 d=1.92181e-09 t=176129
wo shou dao 	我收到	c=1 d=1 t=131928
wo shou dong 	我手動	c=1 d=1 t=58238
wo shou ji 	我手機	c=4 d=0.1 t=172800
wo shou li 	我手裏	c=2 d=1 t=131467
wo shu ju 	我數據	c=2 d=1 t=167083
wo shui 	我睡	c=1 d=1 t=27313
wo shui hui er 	我睡會兒	c=1 d=0.431711 t=176129
wo shui jiao 	我睡覺	c=2 d=1 t=105345
wo shun shou 	我順手	c=1 d=1 t=49874
wo shuo 	我說	c=43 d=0.000109479 t=176129
wo shuo cuo 	我說錯	c=3 d=3.66232e-07 t=176129
wo shuo de 	我說的	c=2 d=0.000816895 t=176129
wo shuo hua 	我說話	c=1 d=1 t=5096
wo shuo ni 	我說你	c=2 d=1 t=20817
wo shuo sha 	我說啥	c=1 d=1 t=30915
wo shuo xia 	我說下	c=2 d=1 t=113809
wo shuo zhen de 	我說真的	c=1 d=1 t=8652
wo si kao 	我思考	c=1 d=1 t=117405
wo song 	我送	c=0 d=0.1 t=9316
wo song ni 	我送你	c=3 d=0.0141931 t=176129
wo song ta 	我送他	c=1 d=1 t=9317
wo sou 	我搜	c=2 d=0.1 t=174708
wo sou sou 	我搜搜	c=1 d=1 t=174709
wo sou suo 	我搜索	c=1 d=1 t=104963
wo sui ran 	我雖然	c=1 d=1 t=45175
wo ta ma 	我他媽	c=1 d=1 t=32012
wo tai 	我太	c=1 d=1 t=125053
wo tang 	我躺	c=1 d=1 t=110183
wo tao yan 	我討厭	c=2 d=1 t=30133
wo ti 	我提	c=1 d=1 t=94326
wo ti ce 	我提測	c=1 d=1 t=133276
wo ti jiao 	我提交	c=2 d=0.1 t=131904
wo ti jiao xia 	我提交下	c=2 d=1.00007 t=133810
wo ti qian 	我提前	c=1 d=1 t=110977
wo ti xia 	我提下	c=1 d=1 t=132357
wo ti xing 	我提醒	c=1 d=1 t=102049
wo tian 	我填	c=1 d=1 t=121539
wo tian jia 	我添加	c=1 d=1 t=58265
wo tian tian 	我天天	c=1 d=1 t=36960
wo ting 	我聽	c=4 d=1 t=107455
wo ting shuo 	我聽說	c=1 d=1 t=36618
wo tong ji 	我統計	c=1 d=1 t=93680
wo tong shi 	我同事	c=49 d=1 t=168979
wo tong shi er 	我同事兒	c=1 d=1 t=100709
wo tong shi he 	我同事和	c=1 d=1 t=114637
wo tong shi men 	我同事們	c=4 d=1 t=159833
wo tong shi na er 	我同事哪兒	c=1 d=1 t=77827
wo tong xiao 	我通宵	c=1 d=1 t=16744
wo tong xue 	我同學	c=4 d=1 t=137399
wo tou 	我頭	c=2 d=1 t=163427
wo tou shang 	我頭上	c=4 d=1 t=167900
wo tu 	我吐	c=1 d=1 t=12369
wo tui 	我退	c=1 d=1 t=91146
wo tui kuan 	我退款	c=1 d=1 t=94571
wo wai mai 	我外賣	c=2 d=1 t=151491
wo wai sheng 	我外甥	c=2 d=1.96079 t=30329
wo wan 	我玩	c=0 d=0.1 t=47319
wo wan shang 	我晚上	c=17 d=0.0490458 t=176129
wo wang 	我忘	c=7 d=1 t=139999
wo wang ji 	我忘記	c=1 d=1 t=163699
wo wei xin 	我微信	c=1 d=1 t=33985
wo wei yi 	我唯一	c=2 d=1 t=33146
wo wen 	我問	c=18 d=1.94314 t=168664
wo wen dang 	我文檔	c=1 d=1 t=58144
wo wen ge 	我問個	c=1 d=1 t=77285
wo wen hao 	我問好	c=1 d=1 t=128775
wo wen ni 	我問你	c=2 d=1 t=133200
wo wen shui 	我問誰	c=1 d=1 t=167808
wo wen ta 	我問他	c=1 d=1 t=113389
wo wen ta 	我問她	c=1 d=1 t=45639
wo wen wen 	我問問	c=5 d=1.00086 t=147536
wo wen wen n 	我問問嗯	c=1 d=1 t=93549
wo wen wo 	我問我	c=1 d=1 t=69271
wo wen xia 	我問下	c=35 d=1.00001 t=173343
wo wen xia ta men 	我問下他們	c=1 d=1 t=68397
wo wu han 	我武漢	c=1 d=1 t=108567
wo xi fen 	我細分	c=1 d=1 t=157142
wo xi fu 	我媳婦	c=1 d=1 t=108717
wo xi fu er 	我媳婦兒	c=2 d=1 t=172202
wo xi hu 	我西湖	c=1 d=1 t=127684
wo xi huan 	我喜歡	c=3 d=0.0214936 t=176129
wo xi wang 	我希望	c=2 d=1 t=116763
wo xi xi 	我洗洗	c=1 d=1 t=174673
wo xia 	我下	c=4 d=1 t=172804
wo xia ban 	我下班	c=10 d=1 t=174081
wo xia cai 	我瞎猜	c=1 d=1 t=96174
wo xia ci 	我下次	c=3 d=1 t=133528
wo xia dan 	我下單	c=1 d=1 t=173213
wo xia jia 	我下家	c=1 d=1 t=22368
wo xia qu 	我下去	c=5 d=1 t=143347
wo xia wu 	我下午	c=1 d=1 t=157824
wo xia yu 	我下雨	c=1 d=1 t=69754
wo xia zhou wu 	我下週五	c=1 d=1 t=131366
wo xian 	我先	c=40 d=1.46767 t=173925
wo xian 	我閒	c=2 d=1 t=103482
wo xian fa 	我先發	c=1 d=1 t=148778
wo xian lai 	我先來	c=3 d=1 t=121191
wo xian xie 	我先寫	c=1 d=1 t=5586
wo xian zai 	我現在	c=1 d=1 t=135153
wo xian zhi a 	我限制啊	c=1 d=1 t=74237
wo xiang 	我想	c=59 d=8.23115e-05 t=176129
wo xiang ai bu 	我想愛不	c=1 d=1 t=36809
wo xiang bu 	我想不	c=2 d=1 t=107025
wo xiang chi 	我想喫	c=1 d=1 t=10463
wo xiang dao 	我想到	c=1 d=1 t=148701
wo xiang yao 	我想要	c=1 d=1 t=60765
wo xiang za 	我想咋	c=1 d=1 t=163584
wo xiang zai 	我想在	c=76 d=1 t=174016
wo xiang zhe 	我想這	c=2 d=1 t=114019
wo xiao qu 	我小區	c=1 d=1 t=170150
wo xiao shi hou 	我小時候	c=1 d=1 t=47296
wo xiao xue 	我小學	c=1 d=1 t=83728
wo xie 	我寫	c=19 d=1 t=165857
wo xie de 	我寫的	c=6 d=1 t=117319
wo xie ge 	我寫個	c=1 d=1 t=38113
wo xie wan 	我寫完	c=4 d=2.1616e-10 t=176129
wo xin li 	我心裏	c=1 d=1 t=69871
wo xing lai 	我醒來	c=1 d=1 t=63202
wo xu yao 	我需要	c=7 d=1 t=174013
wo xuan 	我選	c=1 d=1 t=173215
wo ya gen 	我壓根	c=2 d=1 t=162195
wo yan zheng 	我驗證	c=3 d=1 t=167112
wo yao 	我要	c=79 d=0.4079 t=176129
wo yao ba 	我要把	c=1 d=1 t=154196
wo yao bu 	我要不	c=4 d=1.15811 t=81049
wo yao ce 	我要測	c=1 d=1 t=161272
wo yao dao 	我要到	c=1 d=1 t=31509
wo yao gai 	我要改	c=1 d=1 t=109219
wo yao qu 	我要去	c=3 d=1 t=92755
wo yao shi 	我要是	c=12 d=1 t=135361
wo yao shi bu 	我要是不	c=1 d=1 t=70159
wo ye 	我也	c=239 d=0.0505861 t=176129
wo ye bu shi 	我也不是	c=1 d=1 t=140653
wo ye bu zhi dao 	我也不知道	c=2 d=1 t=144339
wo ye cha 	我也差	c=1 d=1 t=12244
wo ye jiu 	我也就	c=3 d=1 t=123498
wo ye jue de 	我也覺得	c=1 d=1 t=169983
wo ye kun 	我也困	c=1 d=1 t=18372
wo ye lai 	我也來	c=1 d=1 t=8163
wo ye mei 	我也沒	c=1 d=0.1 t=147507
wo ye mei shuo 	我也沒說	c=1 d=1 t=75661
wo ye mei suan 	我也沒算	c=1 d=1 t=147508
wo ye neng 	我也能	c=2 d=1 t=134012
wo ye shi 	我也是	c=22 d=1 t=160614
wo ye shuo 	我也說	c=1 d=1 t=119190
wo ye xiang 	我也想	c=6 d=1.18918e-09 t=176129
wo ye xue 	我也學	c=1 d=1 t=45680
wo ye yao 	我也要	c=7 d=1.65377 t=72094
wo ye you 	我也有	c=5 d=1 t=59317
wo yi 	我一	c=1 d=1 t=92432
wo yi ban 	我一般	c=9 d=1 t=161404
wo yi bian 	我一邊	c=2 d=1 t=72296
wo yi bu yi bu 	我一步一步	c=1 d=1 t=20717
wo yi da kai 	我一打開	c=1 d=1 t=19190
wo yi da zao 	我一大早	c=1 d=1 t=151083
wo yi dian 	我一點	c=4 d=1 t=114643
wo yi ge 	我一個	c=14 d=1 t=158321
wo yi ge ren 	我一個人	c=4 d=1.84366 t=118624
wo yi ge yue 	我一個月	c=1 d=1 t=45007
wo yi hou 	我以後	c=1 d=1 t=7594
wo yi hui er 	我一會兒	c=3 d=1 t=122087
wo yi jing 	我已經	c=35 d=1 t=163578
wo yi kai shi 	我一開始	c=5 d=1 t=69244
wo yi lian 	我一臉	c=1 d=1 t=67315
wo yi qi 	我一起	c=3 d=1 t=106747
wo yi shang wu 	我一上午	c=1 d=1 t=5567
wo yi tian 	我一天	c=1 d=1 t=114316
wo yi tian tian 	我一天天	c=1 d=1 t=171344
wo yi wei 	我以爲	c=17 d=0.00477195 t=176129
wo yi zhi 	我一直	c=7 d=1.25296e-06 t=176129
wo yi zhi dao 	我一直到	c=1 d=1 t=90045
wo ying gai 	我應該	c=15 d=3.61713e-08 t=176129
wo yong 	我用	c=25 d=1 t=172935
wo yong bu 	我用不	c=1 d=1 t=7441
wo yong de 	我用的	c=5 d=1.01906 t=164021
wo yong hu 	我用戶	c=1 d=1 t=118923
wo you 	我又	c=57 d=0.601335 t=176129
wo you 	我有	c=18 d=7.99105e-06 t=176129
wo you bu shi 	我又不是	c=1 d=1.05453e-07 t=176129
wo you dian 	我有點	c=5 d=1.98511 t=157730
wo you ge 	我有個	c=9 d=1.00007 t=125388
wo you hua 	我優化	c=1 d=1 t=159203
wo you san 	我又傘	c=1 d=1 t=36434
wo you shi er 	我有事兒	c=1 d=1 t=154787
wo you xiang 	我又想	c=1 d=1 t=173738
wo you yao 	我又要	c=3 d=1 t=171174
wo you yi ci 	我有一次	c=1 d=1 t=141070
wo you zai 	我又在	c=4 d=1 t=175165
wo you zhe ge 	我有這個	c=1 d=1 t=60695
wo yuan lai 	我原來	c=19 d=4.25849e-05 t=176129
wo yuan lia 	我院倆	c=1 d=1 t=94807
wo za 	我咋	c=18 d=9.05454e-09 t=176129
wo za qu 	我咋去	c=1 d=1 t=13448
wo za shuo 	我咋說	c=1 d=1 t=47621
wo zai 	我再	c=38 d=1 t=167582
wo zai 	我在	c=130 d=0.346456 t=176129
wo zai jia 	我在家	c=1 d=1 t=163076
wo zai kan 	我在看	c=1 d=1 t=62218
wo zai lai 	我再來	c=1 d=1 t=119413
wo zai na er 	我在哪兒	c=2 d=2.37703e-10 t=176129
wo zai ne mao 	我在呢帽	c=2 d=1 t=148615
wo zai xiang 	我在想	c=2 d=1 t=124213
wo zai xie 	我再寫	c=1 d=1 t=43546
wo zai ye 	我在也	c=1 d=1 t=99221
wo zao 	我早	c=1 d=1 t=155403
wo zao dian 	我早點	c=3 d=1 t=120895
wo zao fan 	我早飯	c=1 d=1 t=15405
wo zao jiu 	我早就	c=1 d=1 t=155557
wo zao shang 	我早上	c=6 d=1 t=128246
wo zei 	我賊	c=1 d=1 t=66702
wo zen me 	我怎麼	c=26 d=1.00242 t=170296
wo zhan 	我站	c=1 d=1 t=66745
wo zhao 	我找	c=3 d=1 t=135617
wo zhao bu dao 	我找不到	c=1 d=1 t=174777
wo zhao dao 	我找到	c=4 d=1 t=171814
wo zhao dao le 	我找到了	c=1 d=1 t=141834
wo zhao ni 	我找你	c=1 d=1 t=60348
wo zhao shui 	我找誰	c=1 d=1 t=54774
wo zhao wo 	我找我	c=1 d=1 t=18877
wo zhao xia 	我找下	c=3 d=1 t=106466
wo zhao zhao 	我找找	c=6 d=1 t=63139
wo zhe 	我這	c=68 d=0.391208 t=176129
wo zhe bian 	我這邊	c=106 d=1 t=173594
wo zhe bian de 	我這邊的	c=2 d=1.01405 t=57935
wo zhe ci 	我這次	c=2 d=1 t=62043
wo zhe dou mei 	我這都沒	c=1 d=1 t=38319
wo zhe er 	我這兒	c=58 d=1.04134e-06 t=176129
wo zhe er you 	我這兒有	c=1 d=1 t=69725
wo zhe ge 	我這個	c=24 d=1 t=153350
wo zhe jiu 	我這就	c=1 d=1 t=11523
wo zhe li 	我這裏	c=28 d=0.0227089 t=176129
wo zhe li zhi 	我這離職	c=1 d=1 t=22969
wo zhe liang tian 	我這兩天	c=1 d=1 t=131329
wo zhe me re 	我這麼熱	c=1 d=1 t=101719
wo zhe ren 	我這人	c=1 d=1 t=31097
wo zhe shi 	我這是	c=5 d=0.00135358 t=176129
wo zhe yang 	我這樣	c=1 d=1 t=160776
wo zhe zhong 	我這種	c=1 d=1 t=140187
wo zhe zhou 	我這週	c=1 d=1 t=71410
wo zhen 	我真	c=19 d=1 t=167842
wo zhen de 	我真的	c=3 d=1 t=165206
wo zhen lei 	我真累	c=1 d=1 t=38248
wo zhen nan 	我真難	c=1 d=1 t=163189
wo zhen shi 	我真是	c=27 d=1 t=174199
wo zhen xiang 	我真想	c=4 d=1 t=152384
wo zheng 	我正	c=1 d=0.1 t=172612
wo zheng li 	我整理	c=1 d=6.0548e-10 t=176129
wo zheng xiang 	我正想	c=1 d=1 t=172613
wo zheng zheng 	我整整	c=1 d=1 t=26677
wo zhi 	我只	c=5 d=1 t=172414
wo zhi chuan 	我只傳	c=1 d=1 t=80346
wo zhi dao 	我知道	c=61 d=3.69849e-05 t=176129
wo zhi en na ge 	我之恩那個	c=2 d=1 t=27977
wo zhi er 	我之二	c=3 d=1 t=154307
wo zhi hui 	我只會	c=4 d=1.956 t=175834
wo zhi jie 	我直接	c=21 d=1 t=173344
wo zhi li 	我治理	c=1 d=1 t=59302
wo zhi neng 	我只能	c=5 d=1 t=169048
wo zhi qian 	我之前	c=25 d=0.0365162 t=176129
wo zhi shi 	我只是	c=13 d=1 t=169056
wo zhi xiang 	我只想	c=7 d=1 t=148575
wo zhi xie 	我只寫	c=1 d=1 t=33001
wo zhi you 	我只有	c=2 d=1 t=111993
wo zhong wu 	我中午	c=14 d=1.00489 t=173241
wo zhou liu 	我週六	c=3 d=1 t=159821
wo zhou mo 	我週末	c=4 d=1 t=154902
wo zhou wu 	我週五	c=3 d=1 t=154936
wo zhu yao 	我主要	c=2 d=1 t=34298
wo zhu yi xia 	我注意下	c=1 d=1 t=102163
wo zhuan 	我轉	c=1 d=1 t=107576
wo zhuan fa 	我轉發	c=1 d=1 t=105782
wo zhuan huan 	我轉換	c=1 d=1 t=43178
wo zhuan zheng 	我轉正	c=1 d=1 t=67132
wo zhuang hao 	我裝好	c=1 d=1 t=24705
wo zhun bei 	我準備	c=4 d=1 t=170069
wo zi ce 	我自測	c=1 d=1 t=92528
wo zi ji 	我自己	c=48 d=1.05358 t=162769
wo zou 	我走	c=6 d=1 t=124089
wo zou guo 	我走過	c=1 d=1 t=133919
wo zui 	我醉	c=1 d=1 t=7842
wo zui duo 	我最多	c=1 d=1 t=139483
wo zui jin 	我最近	c=1 d=1 t=143759
wo zuo 	我做	c=12 d=0.380983 t=176129
wo zuo 	我坐	c=0 d=0.1 t=44755
wo zuo de 	我做的	c=3 d=1 t=174246
wo zuo dian 	我做點	c=1 d=1 t=175470
wo zuo tian 	我昨天	c=27 d=0.680451 t=176129
wo zuo tian de 	我昨天的	c=1 d=1 t=44608
wo zuo wan 	我做完	c=3 d=1 t=144287
wo zuo xia 	我做下	c=2 d=1 t=151708
wo zuo zhe er 	我坐這兒	c=1 d=1 t=44756
wu 	五	c=7 d=1 t=175745
wu 	午	c=1 d=0.000130703 t=176129
wu 	吳	c=4 d=1 t=172402
wu 	吾	c=2 d=1.10228 t=175280
wu 	屋	c=4 d=1 t=172403
wu 	捂	c=0 d=0.1 t=136875
wu 	烏	c=2 d=1.00002 t=10696
wu 	無	c=20 d=0.1 t=172400
wu 	物	c=0 d=0.1 t=72024
wu bai 	伍佰	c=1 d=1 t=88037
wu bei wo 	捂被窩	c=1 d=1 t=136876
wu ceng ji 	無層級	c=2 d=1.63763 t=37646
wu chi 	無恥	c=1 d=1 t=42060
wu chuang 	无创	c=12 d=4.2605 t=173055
wu dang shan 	武當山	c=1 d=1 t=25231
wu dao 	舞蹈	c=0 d=0.1 t=27437
wu dao 	誤導	c=1 d=1 t=156505
wu dao shi 	舞蹈室	c=1 d=1 t=27438
wu dian 	五點	c=0 d=0.1 t=53112
wu dian ban 	五點半	c=3 d=1 t=166390
wu duan qian 	無斷簽	c=1 d=1 t=6362
wu fa 	無法	c=8 d=2.55468e-05 t=176129
wu fei 	無非	c=2 d=1.99501 t=106007
wu fen zhong 	五分鐘	c=2 d=1 t=53627
wu feng 	無縫	c=1 d=1 t=120985
wu fu 	五福	c=0 d=0.1 t=133447
wu fu ka 	五福卡	c=1 d=1 t=133448
wu ge 	五個	c=5 d=1 t=172321
wu ge ren 	五個人	c=2 d=1 t=158710
wu ge shi 	無格式	c=2 d=1.96079 t=11345
wu han 	武漢	c=39 d=1 t=172457
wu hei 	五黑	c=1 d=0.00364281 t=176129
wu huo 	無貨	c=1 d=1 t=19401
wu jiao 	午覺	c=1 d=1 t=20050
wu jin 	五金	c=1 d=1 t=114788
wu li 	屋裏	c=49 d=1.9603e-07 t=176129
wu li 	物理	c=4 d=0.0816756 t=176129
wu li mian 	無裏面	c=1 d=1 t=172401
wu lian wang 	物连网	c=1 d=1 t=72025
wu liang ye 	五糧液	c=1 d=1 t=66957
wu liao 	無聊	c=16 d=0.509156 t=176129
wu liu 	物流	c=8 d=7.93537e-08 t=176129
wu liu ding dan 	物流訂單	c=1 d=1 t=79055
wu mei 	烏梅	c=1 d=1 t=173742
wu men kan 	無門檻	c=3 d=1 t=89678
wu mie 	污衊	c=1 d=1 t=112880
wu ming 	無名	c=1 d=1 t=34716
wu nai 	無奈	c=2 d=1 t=129063
wu quan 	無權	c=1 d=1 t=66503
wu quan xian 	無權限	c=1 d=1 t=99163
wu ru 	侮辱	c=1 d=1 t=98889
wu sheng 	無勝	c=1 d=1 t=13161
wu shu 	無數	c=0 d=0.1 t=51905
wu shu bian 	無數遍	c=1 d=1 t=51906
wu shui 	霧水	c=1 d=1 t=9685
wu suo wei 	無所謂	c=3 d=1 t=54452
wu tai 	舞臺	c=1 d=1 t=20202
wu tian 	五天	c=1 d=1 t=55900
wu tian ban 	五天班	c=1 d=1 t=43902
wu wan 	五萬	c=2 d=1.24908 t=25266
wu wang 	無望	c=3 d=1 t=49484
wu wei 	無畏	c=2 d=1 t=23181
wu wu 	嗚嗚	c=468 d=3.73082 t=176004
wu wu 	捂悟	c=1 d=1 t=106342
wu wu wu 	嗚嗚嗚	c=113 d=1 t=169227
wu xi 	無錫	c=1 d=1 t=116063
wu xian 	五險	c=2 d=1.92312 t=95928
wu xian 	無線	c=12 d=0.066034 t=176129
wu xian 	無限	c=2 d=0.67032 t=176129
wu xian ling 	無線領	c=1 d=0.66365 t=176129
wu xian wang 	無線網	c=1 d=1 t=64432
wu xiang 	五箱	c=1 d=1 t=40012
wu xiang wang 	勿相忘	c=1 d=0.160414 t=176129
wu xiao 	無效	c=20 d=1.57695 t=156664
wu xiao de 	無效的	c=1 d=1 t=80970
wu xiao shi 	五小時	c=1 d=1 t=144987
wu xie 	無邪	c=1 d=1 t=116062
wu xing ji 	五星級	c=1 d=1 t=135724
wu xiu 	午休	c=2 d=1 t=86870
wu xiu 	無休	c=1 d=1 t=86871
wu yan yi dui 	無言以對	c=1 d=1 t=47341
wu ye 	無業	c=1 d=1 t=22519
wu ye 	物業	c=2 d=1.81058 t=110389
wu ye fei 	物業費	c=1 d=1 t=83399
wu yi 	五一	c=11 d=1.956 t=170015
wu yi 	無一	c=1 d=1 t=13137
wu yong 	無用	c=2 d=0.000531398 t=176129
wu yu 	無語	c=3 d=1 t=167031
wu yuan 	無緣	c=1 d=1 t=70847
wu yue 	吳越	c=0 d=0.1 t=156126
wu yue fen 	五月份	c=1 d=1 t=22883
wu yue qu 	吳越區	c=1 d=1 t=156127
wu yun 	烏雲	c=0 d=0.1 t=125811
wu zhai 	無債	c=1 d=1 t=102217
wu zhang 	五張	c=2 d=1.94649 t=140290
xi 	吸	c=2 d=1 t=70971
xi 	喜	c=5 d=1.00018 t=116526
xi 	席	c=14 d=1.99571 t=122023
xi 	息	c=1 d=3.5725e-09 t=176129
xi 	洗	c=54 d=0.104368 t=174933
xi 	細	c=1 d=1 t=170610
xi 	西	c=1 d=1 t=133601
xi bei 	西北	c=0 d=0.1 t=27276
xi bei 	西貝	c=1 d=1 t=162302
xi bu gan jing 	洗不乾淨	c=1 d=1 t=102316
